# Run 2016-05-30 02:56:36
# Parameters:
#	degap: False
#	translate: False
#	hydrophobicity_scale: Kyte-Doolittle
#	merge: False
#	aas: all
#	begin_aa: 1
#	pH: 7.2
#	out_fname: ../data/scer-proteome-aa-freqs.txt
#	sequence: None
#	exclude: False
#	end_aa: None
#	in_fname: c:/Dropbox (Drummond Lab)/bio/genomes/scer_orf_trans_all.fasta
#	query: None
orf	length	charge	pI	hydrophobicity	f.A	f.C	f.D	f.E	f.F	f.G	f.H	f.I	f.K	f.L	f.M	f.N	f.P	f.Q	f.R	f.S	f.T	f.V	f.W	f.Y	n.A	n.C	n.D	n.E	n.F	n.G	n.H	n.I	n.K	n.L	n.M	n.N	n.P	n.Q	n.R	n.S	n.T	n.V	n.W	n.Y
#YAL038W CDC19 SGDID:S000000036, Chr I from 71786-73288, Genome Release 64-1-1, Verified ORF, "Pyruvate kinase, functions as a homotetramer in glycolysis to convert phosphoenolpyruvate to pyruvate, the input for aerobic (TCA cycle) or anaerobic (glucose fermentation) respiration"
YAL038W	500	0.8827	7.5103	-0.1480	0.0860	0.0140	0.0640	0.0560	0.0300	0.0680	0.0140	0.0740	0.0740	0.0700	0.0220	0.0520	0.0500	0.0200	0.0480	0.0540	0.0760	0.0960	0.0020	0.0300	43	7	32	28	15	34	7	37	37	35	11	26	25	10	24	27	38	48	1	15
#YAL039C CYC3 SGDID:S000000037, Chr I from 69525-68716, Genome Release 64-1-1, reverse complement, Verified ORF, "Cytochrome c heme lyase (holocytochrome c synthase), attaches heme to apo-cytochrome c (Cyc1p or Cyc7p) in the mitochondrial intermembrane space; human ortholog may have a role in microphthalmia with linear skin defects (MLS)"
YAL039C	269	-9.8202	5.2035	-0.6487	0.0483	0.0149	0.0706	0.0669	0.0409	0.0743	0.0297	0.0260	0.0520	0.0632	0.0520	0.0372	0.0929	0.0446	0.0483	0.1078	0.0260	0.0632	0.0260	0.0149	13	4	19	18	11	20	8	7	14	17	14	10	25	12	13	29	7	17	7	4
#YAL040C CLN3 SGDID:S000000038, Chr I from 67520-65778, Genome Release 64-1-1, reverse complement, Verified ORF, "G1 cyclin involved in cell cycle progression; activates Cdc28p kinase to promote the G1 to S phase transition; plays a role in regulating transcription of the other G1 cyclins, CLN1 and CLN2; regulated by phosphorylation and proteolysis"
YAL040C	580	15.9307	9.3650	-0.2610	0.0724	0.0190	0.0414	0.0276	0.0534	0.0121	0.0207	0.0552	0.0586	0.1224	0.0207	0.0724	0.0483	0.0414	0.0379	0.1586	0.0741	0.0190	0.0086	0.0362	42	11	24	16	31	7	12	32	34	71	12	42	28	24	22	92	43	11	5	21
#YAL041W CDC24 SGDID:S000000039, Chr I from 62840-65404, Genome Release 64-1-1, Verified ORF, "Guanine nucleotide exchange factor (GEF or GDP-release factor) for Cdc42p; required for polarity establishment and maintenance, and mutants have morphological defects in bud formation and shmooing"
YAL041W	854	7.2296	8.5284	-0.4776	0.0433	0.0082	0.0422	0.0632	0.0480	0.0199	0.0293	0.0726	0.0726	0.0984	0.0258	0.0820	0.0363	0.0468	0.0398	0.1487	0.0539	0.0410	0.0070	0.0211	37	7	36	54	41	17	25	62	62	84	22	70	31	40	34	127	46	35	6	18
#YAL042C-A YAL042C-A SGDID:S000002138, Chr I from 61608-61231, Genome Release 64-1-1, reverse complement, Dubious ORF, "Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps verified ORF ERV46/YAL042W; YAL042C-A is a non-essential gene"
YAL042C-A	125	5.7893	9.2788	0.0544	0.0320	0.0400	0.0320	0.0160	0.0400	0.0240	0.0320	0.0640	0.0240	0.0720	0.0400	0.0560	0.0400	0.0000	0.0720	0.2080	0.0960	0.0880	0.0000	0.0240	4	5	4	2	5	3	4	8	3	9	5	7	5	0	9	26	12	11	0	3
#YAL042W ERV46 SGDID:S000000040, Chr I from 61316-62563, Genome Release 64-1-1, Verified ORF, "Protein localized to COPII-coated vesicles, forms a complex with Erv41p; involved in the membrane fusion stage of transport"
YAL042W	415	-4.6778	6.4485	-0.3998	0.0578	0.0241	0.0651	0.0482	0.0530	0.0892	0.0386	0.0482	0.0506	0.0843	0.0217	0.0651	0.0410	0.0458	0.0506	0.0627	0.0530	0.0651	0.0096	0.0265	24	10	27	20	22	37	16	20	21	35	9	27	17	19	21	26	22	27	4	11
#YAL043C PTA1 SGDID:S000000041, Chr I from 61052-58695, Genome Release 64-1-1, reverse complement, Verified ORF, "Subunit of holo-CPF, a multiprotein complex and functional homolog of mammalian CPSF, required for the cleavage and polyadenylation of mRNA and snoRNA 3' ends; involved in pre-tRNA processing; binds to the phosphorylated CTD of RNAPII"
YAL043C	785	-8.5036	5.9055	-0.3625	0.0484	0.0051	0.0611	0.0650	0.0369	0.0331	0.0153	0.0586	0.0777	0.1325	0.0268	0.0510	0.0459	0.0510	0.0369	0.1172	0.0599	0.0459	0.0089	0.0229	38	4	48	51	29	26	12	46	61	104	21	40	36	40	29	92	47	36	7	18
#YAL044C GCV3 SGDID:S000000042, Chr I from 58462-57950, Genome Release 64-1-1, reverse complement, Verified ORF, "H subunit of the mitochondrial glycine decarboxylase complex, required for the catabolism of glycine to 5,10-methylene-THF; also required for all protein lipoylation; expression is regulated by levels of 5,10-methylene-THF"
YAL044C	170	-10.9013	4.5118	-0.4365	0.0588	0.0000	0.0471	0.1000	0.0176	0.0824	0.0176	0.0353	0.0529	0.0941	0.0294	0.0529	0.0412	0.0471	0.0294	0.0706	0.0824	0.0882	0.0176	0.0353	10	0	8	17	3	14	3	6	9	16	5	9	7	8	5	12	14	15	3	6
#YAL044W-A YAL044W-A SGDID:S000007586, Chr I from 57518-57850, Genome Release 64-1-1, Uncharacterized ORF, "Putative protein of unknown function; similar to S. pombe uvi31 which is a putative DNA repair protein"
YAL044W-A	110	6.2332	10.0418	-0.6209	0.0818	0.0091	0.0364	0.0636	0.0545	0.0727	0.0545	0.0273	0.1000	0.0909	0.0455	0.0364	0.0364	0.0545	0.0545	0.0636	0.0364	0.0455	0.0000	0.0364	9	1	4	7	6	8	6	3	11	10	5	4	4	6	6	7	4	5	0	4
#YAL045C YAL045C SGDID:S000000043, Chr I from 57796-57488, Genome Release 64-1-1, reverse complement, Dubious ORF, "Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; almost completely overlaps YAL044W-A"
YAL045C	102	-1.1324	6.7129	0.3588	0.0686	0.0588	0.0392	0.0490	0.0490	0.0294	0.0588	0.0490	0.0392	0.1373	0.0490	0.0196	0.0098	0.0392	0.0392	0.0784	0.0686	0.0784	0.0196	0.0196	7	6	4	5	5	3	6	5	4	14	5	2	1	4	4	8	7	8	2	2
#YAL046C AIM1 SGDID:S000000044, Chr I from 57385-57029, Genome Release 64-1-1, reverse complement, Verified ORF, "Protein involved in mitochondrial function or organization; null mutant displays elevated frequency of mitochondrial genome loss"
YAL046C	118	8.9397	10.5362	-0.4263	0.0254	0.0169	0.0339	0.0424	0.0169	0.0678	0.0254	0.0678	0.1017	0.1017	0.0508	0.0254	0.0424	0.0678	0.0508	0.1017	0.0763	0.0508	0.0254	0.0085	3	2	4	5	2	8	3	8	12	12	6	3	5	8	6	12	9	6	3	1
#YAL047C SPC72 SGDID:S000000045, Chr I from 56857-54989, Genome Release 64-1-1, reverse complement, Verified ORF, "Component of the cytoplasmic Tub4p (gamma-tubulin) complex, binds spindle pole bodies and links them to microtubules; has roles in astral microtubule formation and stabilization"
YAL047C	622	-32.0319	4.8361	-0.7907	0.0305	0.0000	0.0643	0.1109	0.0305	0.0161	0.0225	0.0836	0.0852	0.1270	0.0161	0.0949	0.0241	0.0627	0.0370	0.1045	0.0434	0.0241	0.0048	0.0177	19	0	40	69	19	10	14	52	53	79	10	59	15	39	23	65	27	15	3	11
#YAL047W-A YAL047W-A SGDID:S000028733, Chr I from 54584-54913, Genome Release 64-1-1, Dubious ORF, "Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data"
YAL047W-A	109	-1.2808	5.6620	0.5468	0.0092	0.0275	0.0367	0.0459	0.0826	0.0642	0.0092	0.0917	0.0367	0.1193	0.0459	0.0275	0.0459	0.0183	0.0367	0.1284	0.0642	0.0826	0.0000	0.0275	1	3	4	5	9	7	1	10	4	13	5	3	5	2	4	14	7	9	0	3
#YAL048C GEM1 SGDID:S000000046, Chr I from 54789-52801, Genome Release 64-1-1, reverse complement, Verified ORF, "Evolutionarily-conserved tail-anchored outer mitochondrial membrane GTPase which regulates mitochondrial morphology; cells lacking Gem1p contain collapsed, globular, or grape-like mitochondria; not required for pheromone-induced cell death"
YAL048C	662	-12.4045	5.6471	-0.1553	0.0438	0.0257	0.0755	0.0544	0.0559	0.0423	0.0196	0.0695	0.0755	0.1239	0.0121	0.0468	0.0453	0.0332	0.0363	0.0831	0.0574	0.0574	0.0106	0.0317	29	17	50	36	37	28	13	46	50	82	8	31	30	22	24	55	38	38	7	21
#YAL049C AIM2 SGDID:S000000047, Chr I from 52595-51855, Genome Release 64-1-1, reverse complement, Verified ORF, "Cytoplasmic protein involved in mitochondrial function or organization; null mutant displays reduced frequency of mitochondrial genome loss; potential Hsp82p interactor"
YAL049C	246	-5.7591	5.9027	-0.0813	0.1016	0.0163	0.0732	0.0569	0.0691	0.0772	0.0366	0.0772	0.0813	0.0691	0.0122	0.0366	0.0447	0.0203	0.0244	0.0610	0.0325	0.0691	0.0081	0.0325	25	4	18	14	17	19	9	19	20	17	3	9	11	5	6	15	8	17	2	8
#YAL051W OAF1 SGDID:S000000048, Chr I from 48564-51707, Genome Release 64-1-1, Verified ORF, "Oleate-activated transcription factor, acts alone and as a heterodimer with Pip2p; activates genes involved in beta-oxidation of fatty acids and peroxisome organization and biogenesis"
YAL051W	1047	-5.5008	6.6216	-0.2763	0.0449	0.0172	0.0525	0.0621	0.0544	0.0430	0.0248	0.0764	0.0630	0.1089	0.0315	0.0726	0.0458	0.0287	0.0458	0.1022	0.0506	0.0401	0.0057	0.0296	47	18	55	65	57	45	26	80	66	114	33	76	48	30	48	107	53	42	6	31
#YAL053W FLC2 SGDID:S000000049, Chr I from 45899-48250, Genome Release 64-1-1, Verified ORF, "Putative FAD transporter; required for uptake of FAD into endoplasmic reticulum; involved in cell wall maintenance"
YAL053W	783	2.4961	7.8249	0.2241	0.0805	0.0128	0.0460	0.0294	0.0792	0.0383	0.0064	0.0651	0.0447	0.1086	0.0192	0.0741	0.0332	0.0383	0.0345	0.0920	0.0715	0.0805	0.0115	0.0345	63	10	36	23	62	30	5	51	35	85	15	58	26	30	27	72	56	63	9	27
#YAL054C ACS1 SGDID:S000000050, Chr I from 45022-42881, Genome Release 64-1-1, reverse complement, Verified ORF, "Acetyl-coA synthetase isoform which, along with Acs2p, is the nuclear source of acetyl-coA for histone acetylation; expressed during growth on nonfermentable carbon sources and under aerobic conditions"
YAL054C	713	-8.1636	6.2376	-0.2719	0.0785	0.0098	0.0673	0.0533	0.0365	0.0701	0.0281	0.0617	0.0659	0.0813	0.0112	0.0323	0.0561	0.0309	0.0421	0.0715	0.0659	0.0771	0.0168	0.0435	56	7	48	38	26	50	20	44	47	58	8	23	40	22	30	51	47	55	12	31
#YAL055W PEX22 SGDID:S000000051, Chr I from 42177-42719, Genome Release 64-1-1, Verified ORF, "Putative peroxisomal membrane protein required for import of peroxisomal proteins, functionally complements a Pichia pastoris pex22 mutation"
YAL055W	180	2.6490	8.2198	-0.2983	0.0611	0.0278	0.0778	0.0500	0.0278	0.0667	0.0111	0.0778	0.0889	0.0556	0.0222	0.0333	0.0444	0.0222	0.0556	0.0944	0.0556	0.0889	0.0111	0.0278	11	5	14	9	5	12	2	14	16	10	4	6	8	4	10	17	10	16	2	5
#YAL056C-A YAL056C-A SGDID:S000002139, Chr I from 39046-38696, Genome Release 64-1-1, reverse complement, Dubious ORF, "Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data"
YAL056C-A	116	8.6408	10.4984	0.2845	0.0431	0.0345	0.0172	0.0172	0.0431	0.0345	0.0086	0.0431	0.0345	0.1293	0.0345	0.0517	0.0517	0.0345	0.0776	0.1121	0.0862	0.1121	0.0086	0.0259	5	4	2	2	5	4	1	5	4	15	4	6	6	4	9	13	10	13	1	3
#YAL056W GPB2 SGDID:S000000052, Chr I from 39259-41901, Genome Release 64-1-1, Verified ORF, "Multistep regulator of cAMP-PKA signaling; inhibits PKA downstream of Gpa2p and Cyr1p, thereby increasing cAMP dependency; inhibits Ras activity through direct interactions with Ira1p/2p; regulated by G-alpha protein Gpa2p; homolog of Gpb1p"
YAL056W	880	-2.4488	6.8472	-0.4718	0.0375	0.0148	0.0659	0.0523	0.0432	0.0693	0.0250	0.0648	0.0682	0.0841	0.0295	0.0648	0.0580	0.0273	0.0466	0.1080	0.0432	0.0523	0.0091	0.0364	33	13	58	46	38	61	22	57	60	74	26	57	51	24	41	95	38	46	8	32
#YAL058W CNE1 SGDID:S000000054, Chr I from 37464-38972, Genome Release 64-1-1, Verified ORF, "Calnexin; integral membrane ER chaperone involved in folding and quality control of glycoproteins; chaperone activity is inhibited by Mpd1p, with which Cne1p interacts; 24% identical to mammalian calnexin; Ca+ binding not yet shown in yeast"
YAL058W	502	-19.5846	5.0381	-0.3448	0.0518	0.0120	0.0498	0.0817	0.0339	0.0598	0.0259	0.0777	0.0538	0.0936	0.0259	0.0618	0.0717	0.0359	0.0378	0.0598	0.0558	0.0558	0.0279	0.0279	26	6	25	41	17	30	13	39	27	47	13	31	36	18	19	30	28	28	14	14
#YAL059C-A YAL059C-A SGDID:S000028734, Chr I from 36918-36496, Genome Release 64-1-1, reverse complement, Dubious ORF, "Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps verified gene ECM1/YAL059W"
YAL059C-A	140	6.6447	9.8326	0.7014	0.1071	0.0286	0.0357	0.0357	0.1143	0.0143	0.0071	0.0571	0.0571	0.1857	0.0286	0.0143	0.0143	0.0071	0.0643	0.1357	0.0357	0.0357	0.0000	0.0214	15	4	5	5	16	2	1	8	8	26	4	2	2	1	9	19	5	5	0	3
#YAL059W ECM1 SGDID:S000000055, Chr I from 36509-37147, Genome Release 64-1-1, Verified ORF, "Pre-ribosomal factor involved in 60S ribosomal protein subunit export; associates with the pre-60S particle; shuttles between the nucleus and cytoplasm"
YAL059W	212	10.8814	10.3073	-0.8052	0.0991	0.0000	0.0613	0.0896	0.0236	0.0330	0.0000	0.0519	0.1321	0.0991	0.0142	0.0660	0.0236	0.0330	0.0708	0.0849	0.0519	0.0472	0.0094	0.0094	21	0	13	19	5	7	0	11	28	21	3	14	5	7	15	18	11	10	2	2
#YAL060W BDH1 SGDID:S000000056, Chr I from 35155-36303, Genome Release 64-1-1, Verified ORF, "NAD-dependent (R,R)-butanediol dehydrogenase, catalyzes oxidation of (R,R)-2,3-butanediol to (3R)-acetoin, oxidation of meso-butanediol to (3S)-acetoin, and reduction of acetoin; enhances use of 2,3-butanediol as an aerobic carbon source"
YAL060W	382	-7.6709	6.1856	-0.0636	0.0628	0.0288	0.0576	0.0654	0.0366	0.0942	0.0445	0.0733	0.0812	0.0707	0.0288	0.0262	0.0497	0.0262	0.0209	0.0681	0.0419	0.0942	0.0131	0.0157	24	11	22	25	14	36	17	28	31	27	11	10	19	10	8	26	16	36	5	6
#YAL061W BDH2 SGDID:S000000057, Chr I from 33448-34701, Genome Release 64-1-1, Uncharacterized ORF, "Putative medium-chain alcohol dehydrogenase with similarity to BDH1; transcription induced by constitutively active PDR1 and PDR3"
YAL061W	417	-13.8103	5.7429	-0.2353	0.0863	0.0336	0.0600	0.0815	0.0288	0.0887	0.0432	0.0767	0.0552	0.0767	0.0240	0.0408	0.0432	0.0144	0.0528	0.0408	0.0504	0.0624	0.0120	0.0288	36	14	25	34	12	37	18	32	23	32	10	17	18	6	22	17	21	26	5	12
#YAL062W GDH3 SGDID:S000000058, Chr I from 31567-32940, Genome Release 64-1-1, Verified ORF, "NADP(+)-dependent glutamate dehydrogenase, synthesizes glutamate from ammonia and alpha-ketoglutarate; rate of alpha-ketoglutarate utilization differs from Gdh1p; expression regulated by nitrogen and carbon sources"
YAL062W	457	-8.2602	5.2336	-0.1932	0.0875	0.0131	0.0460	0.0744	0.0460	0.1007	0.0088	0.0656	0.0678	0.0591	0.0219	0.0460	0.0306	0.0394	0.0350	0.0810	0.0503	0.0810	0.0131	0.0328	40	6	21	34	21	46	4	30	31	27	10	21	14	18	16	37	23	37	6	15
#YAL063C FLO9 SGDID:S000000059, Chr I from 27968-24000, Genome Release 64-1-1, reverse complement, Verified ORF, "Lectin-like protein with similarity to Flo1p, thought to be expressed and involved in flocculation"
YAL063C	1322	-62.0366	4.0265	-0.1203	0.0514	0.0129	0.0280	0.0477	0.0227	0.0545	0.0030	0.0688	0.0151	0.0371	0.0166	0.0393	0.0567	0.0227	0.0144	0.1384	0.2693	0.0658	0.0151	0.0204	68	17	37	63	30	72	4	91	20	49	22	52	75	30	19	183	356	87	20	27
#YAL063C-A YAL063C-A SGDID:S000028813, Chr I from 22685-22395, Genome Release 64-1-1, reverse complement, Uncharacterized ORF, "Putative protein of unknown function; identified by expression profiling and mass spectrometry"
YAL063C-A	96	8.7843	10.0659	0.0771	0.0312	0.0417	0.0521	0.0104	0.0417	0.0208	0.0312	0.1771	0.0833	0.0938	0.0104	0.0833	0.0104	0.0104	0.0729	0.0729	0.0625	0.0312	0.0104	0.0521	3	4	5	1	4	2	3	17	8	9	1	8	1	1	7	7	6	3	1	5
#YAL064C-A TDA8 SGDID:S000002140, Chr I from 13743-13363, Genome Release 64-1-1, reverse complement, Uncharacterized ORF, "Putative protein of unknown function; null mutant is sensitive to expression of the top1-T722A allele; not an essential gene"
YAL064C-A	126	-7.2152	4.1245	0.0175	0.0714	0.0238	0.0794	0.0159	0.0635	0.0714	0.0159	0.0476	0.0238	0.0556	0.0238	0.0317	0.0794	0.0397	0.0159	0.0794	0.0873	0.0873	0.0159	0.0714	9	3	10	2	8	9	2	6	3	7	3	4	10	5	2	10	11	11	2	9
#YAL064W YAL064W SGDID:S000000060, Chr I from 21566-21850, Genome Release 64-1-1, Verified ORF, "Protein of unknown function; may interact with ribosomes, based on co-purification experiments"
YAL064W	94	5.7936	10.1592	-0.2351	0.0213	0.0319	0.0213	0.0532	0.1170	0.0319	0.0213	0.0319	0.0638	0.1170	0.0213	0.0638	0.0532	0.0638	0.0745	0.0957	0.0426	0.0638	0.0000	0.0106	2	3	2	5	11	3	2	3	6	11	2	6	5	6	7	9	4	6	0	1
#YAL064W-B YAL064W-B SGDID:S000002141, Chr I from 12046-12426, Genome Release 64-1-1, Uncharacterized ORF, "Fungal-specific protein of unknown function"
YAL064W-B	126	-16.9745	4.0280	0.9683	0.0635	0.0397	0.0397	0.0952	0.0159	0.0317	0.0556	0.0556	0.0000	0.0476	0.0238	0.0000	0.0317	0.0159	0.0000	0.0952	0.0952	0.2778	0.0000	0.0159	8	5	5	12	2	4	7	7	0	6	3	0	4	2	0	12	12	35	0	2
#YAL065C YAL065C SGDID:S000001817, Chr I from 11951-11565, Genome Release 64-1-1, reverse complement, Uncharacterized ORF, "Putative protein of unknown function; has homology to FLO1; possible pseudogene"
YAL065C	128	-2.9835	4.9739	0.1258	0.0938	0.0000	0.0078	0.0469	0.0156	0.0703	0.0156	0.0781	0.0156	0.0547	0.0156	0.0547	0.0156	0.0234	0.0156	0.1953	0.1875	0.0781	0.0078	0.0078	12	0	1	6	2	9	2	10	2	7	2	7	2	3	2	25	24	10	1	1
#YAL066W YAL066W SGDID:S000000061, Chr I from 10091-10399, Genome Release 64-1-1, Dubious ORF, "Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data"
YAL066W	102	10.0796	10.6847	0.6441	0.0098	0.0196	0.0098	0.0196	0.0588	0.0098	0.0490	0.1471	0.0686	0.1863	0.0392	0.0294	0.0294	0.0392	0.0588	0.0686	0.0686	0.0490	0.0000	0.0392	1	2	1	2	6	1	5	15	7	19	4	3	3	4	6	7	7	5	0	4
#YAL067C SEO1 SGDID:S000000062, Chr I from 9016-7235, Genome Release 64-1-1, reverse complement, Verified ORF, "Putative permease, member of the allantoate transporter subfamily of the major facilitator superfamily; mutation confers resistance to ethionine sulfoxide"
YAL067C	593	2.9308	7.9265	-0.0627	0.0573	0.0135	0.0506	0.0489	0.0590	0.0506	0.0152	0.0776	0.0658	0.0961	0.0185	0.0540	0.0270	0.0304	0.0388	0.0809	0.0523	0.0675	0.0371	0.0590	34	8	30	29	35	30	9	46	39	57	11	32	16	18	23	48	31	40	22	35
#YAL067W-A YAL067W-A SGDID:S000028593, Chr I from 2480-2707, Genome Release 64-1-1, Uncharacterized ORF, "Putative protein of unknown function; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching"
YAL067W-A	75	9.6376	10.4182	0.2307	0.0133	0.0533	0.0267	0.0133	0.0667	0.0267	0.0133	0.0800	0.0800	0.1200	0.0133	0.0533	0.0933	0.0000	0.0933	0.0667	0.0267	0.1067	0.0000	0.0533	1	4	2	1	5	2	1	6	6	9	1	4	7	0	7	5	2	8	0	4
#YAL068C PAU8 SGDID:S000002142, Chr I from 2169-1807, Genome Release 64-1-1, reverse complement, Verified ORF, "Protein of unknown function, member of the seripauperin multigene family encoded mainly in subtelomeric regions"
YAL068C	120	-2.9906	5.0238	0.2542	0.1583	0.0000	0.0417	0.0417	0.0250	0.0500	0.0167	0.0667	0.0250	0.0667	0.0333	0.0250	0.0417	0.0333	0.0333	0.0750	0.1083	0.0917	0.0083	0.0583	19	0	5	5	3	6	2	8	3	8	4	3	5	4	4	9	13	11	1	7
#YAL068W-A YAL068W-A SGDID:S000028594, Chr I from 538-792, Genome Release 64-1-1, Dubious ORF, "Dubious open reading frame unlikely to encode a protein; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching"
YAL068W-A	84	3.2961	8.9129	-0.1143	0.0238	0.0238	0.0119	0.0119	0.0595	0.0476	0.0952	0.0952	0.0595	0.0952	0.0119	0.0833	0.0952	0.0119	0.0000	0.0476	0.1071	0.0357	0.0000	0.0833	2	2	1	1	5	4	8	8	5	8	1	7	8	1	0	4	9	3	0	7
#YAL069W YAL069W SGDID:S000002143, Chr I from 335-649, Genome Release 64-1-1, Dubious ORF, "Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data"
YAL069W	104	-1.7008	6.6676	0.5413	0.0577	0.0385	0.0192	0.0096	0.0096	0.0192	0.0962	0.0962	0.0096	0.1538	0.0096	0.0385	0.0673	0.0000	0.0000	0.1058	0.1538	0.0577	0.0000	0.0577	6	4	2	1	1	2	10	10	1	16	1	4	7	0	0	11	16	6	0	6
#YAR002C-A ERP1 SGDID:S000002129, Chr I from 154724-154065, Genome Release 64-1-1, reverse complement, Verified ORF, "Protein that forms a heterotrimeric complex with Erp2p, Emp24p, and Erv25p; member, along with Emp24p and Erv25p, of the p24 family involved in ER to Golgi transport and localized to COPII-coated vesicles"
YAR002C-A	219	-0.0546	7.1737	-0.1306	0.0868	0.0228	0.0685	0.0548	0.0502	0.0639	0.0274	0.0685	0.0868	0.1005	0.0183	0.0228	0.0091	0.0639	0.0365	0.0548	0.0502	0.0685	0.0183	0.0274	19	5	15	12	11	14	6	15	19	22	4	5	2	14	8	12	11	15	4	6
#YAR002W NUP60 SGDID:S000000063, Chr I from 152257-153876, Genome Release 64-1-1, Verified ORF, "Subunit of the nuclear pore complex (NPC), functions to anchor Nup2p to the NPC in a process controlled by the nucleoplasmic concentration of Gsp1p-GTP; involved in nuclear export and cytoplasmic localization of specific mRNAs such as ASH1"
YAR002W	539	13.3291	9.8331	-0.8327	0.0742	0.0000	0.0353	0.0761	0.0427	0.0371	0.0111	0.0427	0.0965	0.0464	0.0111	0.0853	0.0649	0.0334	0.0390	0.1614	0.0575	0.0575	0.0000	0.0278	40	0	19	41	23	20	6	23	52	25	6	46	35	18	21	87	31	31	0	15
#YAR003W SWD1 SGDID:S000000064, Chr I from 155005-156285, Genome Release 64-1-1, Verified ORF, "Subunit of the COMPASS (Set1C) complex, which methylates histone H3 on lysine 4 and is required in transcriptional silencing near telomeres; WD40 beta propeller superfamily member with similarity to mammalian Rbbp7"
YAR003W	426	-30.9528	4.5399	-0.2885	0.0469	0.0235	0.0681	0.0892	0.0329	0.0423	0.0282	0.0798	0.0446	0.0986	0.0117	0.0469	0.0423	0.0352	0.0399	0.0892	0.0563	0.0634	0.0258	0.0352	20	10	29	38	14	18	12	34	19	42	5	20	18	15	17	38	24	27	11	15
#YAR007C RFA1 SGDID:S000000065, Chr I from 158619-156754, Genome Release 64-1-1, reverse complement, Verified ORF, "Subunit of heterotrimeric Replication Protein A (RPA), which is a highly conserved single-stranded DNA binding protein involved in DNA replication, repair, and recombination"
YAR007C	621	-6.8137	5.8766	-0.5589	0.0757	0.0081	0.0676	0.0596	0.0515	0.0499	0.0145	0.0660	0.0628	0.0773	0.0161	0.0886	0.0338	0.0515	0.0531	0.0725	0.0580	0.0499	0.0113	0.0322	47	5	42	37	32	31	9	41	39	48	10	55	21	32	33	45	36	31	7	20
